24;Micheal Labetzke / Grünen;Grünen;nein;nein;meist;gar nicht;gar nicht;etwas;neutral;weiblich;WAHR;WAHR;WAHR;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;WAHR;FALSCH
25;Darius Hassanpour / Die Linke;SPD;ja;ja;total;total;gar nicht;total;positiv;männlich;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;WAHR;WAHR;FALSCH;FALSCH;FALSCH;FALSCH
26;Micheal Labetzke / Grünen;Grünen;ja;ja;etwas;total;etwas;meist;neutral;weiblich;WAHR;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;WAHR;FALSCH;FALSCH
27;Darius Hassanpour / Die Linke;Die Linke;ja;ja;etwas;gar nicht;etwas;etwas;neutral;weiblich;FALSCH;WAHR;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH
28;Darius Hassanpour / Die Linke;SPD;ja;ja;etwas;total;meist;total;negativ;weiblich;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;WAHR;FALSCH;FALSCH
29;Sandra Schmull / CDU;SPD;nein;nein;meist;meist;total;meist;positiv;männlich;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;WAHR;WAHR;FALSCH;FALSCH;FALSCH;FALSCH
30;Darius Hassanpour / Die Linke;Die Linke;nein;ja;meist;etwas;etwas;meist;positiv;männlich;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH
31;Uwe Schmidt / SPD;SPD;nein;ja;etwas;meist;etwas;meist;neutral;männlich;FALSCH;WAHR;WAHR;FALSCH;FALSCH;WAHR;WAHR;FALSCH;WAHR;FALSCH;FALSCH
32;Darius Hassanpour / Die Linke;Die Linke;ja;ja;etwas;meist;gar nicht;meist;negativ;weiblich;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR
33;Uwe Schmidt / SPD;Die Linke;;;;;;;;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH
34;Darius Hassanpour / Die Linke;Die Linke;ja;ja;meist;meist;total;meist;neutral;männlich;FALSCH;WAHR;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;WAHR;FALSCH
35;Darius Hassanpour / Die Linke;Die Linke;nein;nein;gar nicht;etwas;total;gar nicht;neutral;weiblich;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR
36;Micheal Labetzke / Grünen;Grünen;ja;ja;total;etwas;etwas;meist;neutral;männlich;WAHR;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH
37;Uwe Schmidt / SPD;Grünen;ja;ja;etwas;etwas;etwas;etwas;negativ;männlich;FALSCH;WAHR;WAHR;FALSCH;FALSCH;WAHR;WAHR;FALSCH;FALSCH;FALSCH;FALSCH
38;Arno Staschewski / AFD;BSW;ja;ja;etwas;etwas;etwas;etwas;neutral;männlich;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH
39;Darius Hassanpour / Die Linke;Die Linke;ja;ja;etwas;meist;gar nicht;etwas;negativ;weiblich;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH
40;Arno Staschewski / AFD;AFD;nein;nein;total;total;etwas;meist;positiv;männlich;FALSCH;WAHR;WAHR;FALSCH;FALSCH;WAHR;WAHR;FALSCH;WAHR;FALSCH;FALSCH
41;Matthias Cornelsen / Volt;Volt;ja;ja;total;total;etwas;total;positiv;männlich;FALSCH;WAHR;WAHR;WAHR;FALSCH;FALSCH;WAHR;FALSCH;WAHR;FALSCH;FALSCH
42;Micheal Labetzke / Grünen;Grünen;;ja;meist;meist;meist;meist;neutral;männlich;FALSCH;WAHR;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH
43;Darius Hassanpour / Die Linke;SPD;ja;nein;etwas;gar nicht;etwas;;positiv;männlich;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH
44;Matthias Cornelsen / Volt;Grünen;ja;ja;gar nicht;meist;total;meist;neutral;männlich;WAHR;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH
45;Darius Hassanpour / Die Linke;Die Linke;ja;ja;meist;total;gar nicht;total;neutral;männlich;WAHR;WAHR;WAHR;FALSCH;FALSCH;WAHR;WAHR;FALSCH;WAHR;FALSCH;FALSCH
46;Darius Hassanpour / Die Linke;Die Linke;ja;ja;gar nicht;total;gar nicht;total;positiv;männlich;FALSCH;WAHR;WAHR;WAHR;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH
47;Matthias Cornelsen / Volt;Volt;ja;ja;meist;etwas;etwas;meist;positiv;männlich;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH
48;Darius Hassanpour / Die Linke;SPD;nein;ja;etwas;meist;total;meist;neutral;weiblich;WAHR;WAHR;WAHR;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH
49;Micheal Labetzke / Grünen;Tierschutz Partei;nein;ja;meist;gar nicht;etwas;meist;neutral;weiblich;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR
50;Sandra Schmull / CDU;Volt;nein;ja;etwas;gar nicht;meist;gar nicht;negativ;männlich;WAHR;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR
51;Sandra Schmull / CDU;FDP;ja;ja;meist;total;etwas;total;positiv;männlich;WAHR;WAHR;WAHR;FALSCH;FALSCH;FALSCH;WAHR;WAHR;WAHR;FALSCH;FALSCH
52;Darius Hassanpour / Die Linke;Die Linke;nein;ja;etwas;meist;meist;meist;neutral;weiblich;WAHR;WAHR;WAHR;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH
53;Darius Hassanpour / Die Linke;Die Linke;ja;ja;meist;etwas;gar nicht;meist;neutral;weiblich;WAHR;WAHR;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR
54;Matthias Cornelsen / Volt;Volt;ja;ja;etwas;meist;meist;meist;negativ;weiblich;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH
55;Uwe Schmidt / SPD;BSW;nein;ja;etwas;meist;total;etwas;negativ;weiblich;FALSCH;WAHR;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH
56;Darius Hassanpour / Die Linke;Die Linke;nein;ja;etwas;etwas;etwas;etwas;negativ;männlich;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;WAHR;WAHR;FALSCH;FALSCH;FALSCH;FALSCH
57;Sandra Schmull / CDU;Die Linke;nein;ja;etwas;etwas;meist;gar nicht;negativ;weiblich;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH
58;Darius Hassanpour / Die Linke;BSW;ja;ja;etwas;meist;etwas;meist;positiv;weiblich;FALSCH;WAHR;WAHR;FALSCH;FALSCH;WAHR;WAHR;FALSCH;FALSCH;FALSCH;FALSCH
59;Uwe Schmidt / SPD;Die Linke;ja;ja;meist;total;;;neutral;männlich;FALSCH;WAHR;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;WAHR;FALSCH
